Source,Target,type_of_content
BillTurner6684,JackPosobiec,Retweet
ajajordann,InactionNever,Retweet
laurenlarise,brown_skin_rose,Retweet
MomMusic,AnthonyMasonCBS,Retweet
MomMusic,JohnPrineMusic,Mention
joeymorrow2,RealCandaceO,Retweet
RodneySherman5,IngrahamAngle,Retweet
MsgGian,Harshit_insan1,Retweet
MsgGian,Gurmeetramrahim,Mention
MsgGian,derasachasauda,Mention
kelvinblunt,JoeNBC,Retweet
kayauy11,MPIainDS,Retweet
kayauy11,WHO,Mention
Support_TheUS,CBSNews,Mention
Jerfro97,charliekirk11,Retweet
dutchmanii1,realDonaldTrump,Retweet
Coolkiddbree_,aravosis,Retweet
Robroy4444,LifeNewsHQ,Retweet
rootb3er,gregmoorewv,Retweet
rootb3er,Kenwardjr,Mention
rootb3er,benyt,Mention
rootb3er,nytimes,Mention
kc_relo,nlbmprez,Retweet
Infrogmation,Public_Citizen,Retweet
JimWard85525975,ddale8,Retweet
in4n6,in4n6,Tweet
10thCrusader,Wyn1745,Retweet
Fgarcia2849Jr,tomselliott,Retweet
Wdean57703536,Kenzoness,Retweet
Theangrierelf,MarshaBlackburn,Retweet
dmock70,BobKarpDR,Retweet
DoKscho,business,Retweet
dfrntdrmmr,edieconstantine,Retweet
Queen_EO,nytimes,Retweet
TechchartKk,TechchartKk,Tweet
realEdSahakian,MichaelCoudrey,Reply
realEdSahakian,MichaelCoudrey,Mention
Sharon46601576,ddale8,Retweet
yxz8,AndyBiotech,Retweet
gshort06,chrisjollyhale,Retweet
NtateTsamaiso,ramainoane,Retweet
pobi2,HKWORLDCITY,Retweet
pobi2,WHO,Mention
pobi2,rthk_news,Mention
MDZsaveanimals,PhilipRucker,Retweet
Katamazebllz,PoliticusSarah,Retweet
ShyniNeel,Imamofpeace,Retweet
mariahhnoellee,CaliCali2000,Retweet
HopzNHuskers,WayneDupreeShow,Retweet
ProfessorRatan,ABPNews,Retweet
USforFreedom,TIME,Retweet
wamba138,IngrahamAngle,Retweet
DooBilHozhoni,hannahcrileyy,Retweet
TheQuint,TheQuint,Tweet
WTFNationRadio,WTFNationRadio,Tweet
JD_NC_704,RealCandaceO,Retweet
dianne_flynt,politico,Mention
sun09RE,PoliticusSarah,Retweet
FabioRiesemberg,WashPostPR,Retweet
finandy1,charliekirk11,Retweet
polabenitez,atomaraullo,Retweet
Syatmel,jonathanvswan,Retweet
niecy281,fred_guttenberg,Retweet
MCFCJonnyJ,dgordon52,Retweet
BreathLizzerd,USNavy,Retweet
FrostSoaker,erinmdurkin,Retweet
JLWard220,ryanstruyk,Retweet
JLWard220,CNN,Mention
adamha,JewhadiTM,Retweet
Jan03407951,RWPUSA,Retweet
TrainerKnight,AndrewBloch,Retweet
piccolofran,RepTimmons,Retweet
piccolofran,AEI,Mention
piccolofran,ScottGottliebMD,Mention
bns5,EricBellmanWSJ,Retweet
bns5,narendramodi,Mention
1finekitty,jeremyherb,Retweet
twistedmic24,RoxanaStone22,Retweet
Cfgtocw,WhiteHouse,Retweet
josiemae51,VanJones68,Retweet
CGxChaz,NPR,Retweet
RoslynAntoinet1,Yamiche,Retweet
RoslynAntoinet1,JDiamond1,Mention
SpanksMcbooty,iamtheFLYEST,Retweet
SpanksMcbooty,KeriHilson,Mention
Kirsten05983008,KamVTV,Retweet
The_Frisco_Kid,SenTomCotton,Retweet
potato_wingd,news18dotcom,Retweet
DanielleHerr,_LoveLike_JESUS,Retweet
velvetus1,TheRickWilson,Retweet
velvetus1,thedailybeast,Mention
MaggieSwan9,jenniferatntd,Retweet
Amir_Sepehrvand,JustinTrudeau,Reply
Amir_Sepehrvand,JustinTrudeau,Mention
annie_inopia,j7eon,Retweet
DanielNHaddad,AndrewBloch,Retweet
TreasonHappens,jimsciutto,Retweet
AndreinaSeijas,AndreinaSeijas,Tweet
Sharon72226676,people,Retweet
jgwilliams4,jeremyherb,Retweet
melayne_mills,JillWineBanks,Retweet
Matchaindonesia,UNNTV1,Retweet
UGifter,NHLAdamK,Retweet
jim79029,PaulWestonEden,Retweet
daisybeagle09,ianbremmer,Retweet
LizMarieKitty,RenoCow,Retweet
LizMarieKitty,mrbromwich,Mention
LizMarieKitty,gtconway3d,Mention
AshVerma111,AshVerma111,Tweet
viper0710,RaptorsGirl99,Retweet
itsboyGunjan_,Imamofpeace,Retweet
carsonca,FrankFigliuzzi1,Retweet
StuartBDonovan,StuartBDonovan,Tweet
Debbie45801497,joncoopertweets,Retweet
kachoomar,goyalsanjeev,Retweet
kachoomar,deepolice12,Mention
gX4IK76J9YqkHEn,AnthemRespect,Retweet
jailhousefinger,jailhousefinger,Tweet
Ulises_Garrote,Ulises_Garrote,Tweet
jbragg22,MichaelCoudrey,Retweet
LegitAidanL,sfpelosi,Retweet
kristinnbender,d_lauren12006,Retweet
Fafasbookcorner,TobiRachel_,Retweet
BaloneySalami1,DineshDSouza,Retweet
Tree_ORGY,ACNH_support,Retweet
MMBrown14,vermontgmg,Retweet
tinabina70,nypost,Retweet
ToussSepehr,USATODAY,Mention
MaxwellAmiyi,TobiRachel_,Retweet
SusanKBradford,atrupar,Retweet
DonIyke0,nytimes,Retweet
rjhenning2016,thehill,Retweet
JohnRedins,daily_ottawa,Retweet
KayV34,RyanAFournier,Retweet
JayantK56314845,RahulGandhi,Retweet
rayinaction,rayinaction,Tweet
Dodes23Jack,RealCandaceO,Retweet
SaulMojito,BleacherReport,Retweet
sabriere,IndivisibleMich,Retweet
Smudgeon,Smudgeon,Tweet
CostaCrew2LSU,mistergoodgod,Retweet
Millberry80,FOXFOOTBALL,Retweet
Alice_Vogue,Alice_Vogue,Tweet
JasonBermas,JoeBorelliNYC,Retweet
CarHat111,jimsciutto,Retweet
charlie_simpson,emmabaccellieri,Retweet
BrianGrNotABot,joncoopertweets,Retweet
ESpence00496851,fred_guttenberg,Retweet
Gatorgirly1,CharlieDaniels,Retweet
magdalino_mary,Imamofpeace,Retweet
DonnaRCooper,tripgabriel,Retweet
minykina,cnnbrk,Retweet
Artemis888Infin,AngrierWHStaff,Retweet
dannybuntu,rapplerdotcom,Retweet
christinebiela,nytpolitics,Retweet
dah_wale,MobilePunch,Retweet
Jbgud,StarburyMarbury,Retweet
ChrisWingate89,joe_cressy,Retweet
buckeye22b,aubrey_huff,Retweet
chrrypstrlll,j7eon,Retweet
FiestaBuckeye,toddstarnes,Retweet
FiestaBuckeye,trish_regan,Mention
FiestaBuckeye,realDonaldTrump,Mention
WalterWhitesMom,David_Leavitt,Retweet
exojpa,TimOBrien,Retweet
jim_osborne,WayneDupreeShow,Retweet
arvnma,DrIsaPantami,Retweet
TheHarkster,stevesilberman,Retweet
Blythe_Gryphon,DrDenaGrayson,Retweet
Blythe_Gryphon,realDonaldTrump,Mention
Skonus37,paulkrugman,Retweet
clawson2020,cnnbrk,Retweet
hi_hat_truth,ddale8,Retweet
texan2you,SenTomCotton,Retweet
justpast40,JoeBorelliNYC,Retweet
ochardo7,AdamMilstein,Retweet
Geno9360,Lancegooden,Retweet
pamelapalley,fred_guttenberg,Retweet
truthank,WTOL11Toledo,Retweet
deena_doe,eugenegu,Retweet
deena_doe,realDonaldTrump,Mention
deena_doe,nytimes,Mention
2sPM8uGmUbLjiEQ,wef,Retweet
emotiondesigner,emotiondesigner,Tweet
CalmWithinStorm,kevinolearytv,Retweet
CalmWithinStorm,JustinTrudeau,Mention
YourVirtlSherpa,B_Ehrenreich,Retweet
TheGreyWolf1776,KamVTV,Retweet
acharya_sam,acharya_sam,Tweet
EssiePetty317,BreitbartNews,Retweet
ottykev,AFP,Retweet
jerwinrupanan_,rapplerdotcom,Retweet
Presxed,Wetsin,Retweet
paulyork2006,charliekirk11,Retweet
Nichola28247436,AdamMilstein,Retweet
LMA4condor,TobiRachel_,Retweet
TawneyrLee,DineshDSouza,Retweet
surfingqueen,artytrace,Retweet
eileen1983,JeffreeStar,Reply
eileen1983,JeffreeStar,Mention
Prognosys,allaboutEve6000,Retweet
Cannoli_Joe,CallingBSonU,Retweet
SunriseSa8,NatalieMcKendry,Retweet
jrw067,SLT20201,Retweet
brittny_mejia,jaweedkaleem,Retweet
jilly4356,WayneDupreeShow,Retweet
EuropeBound,shannonrwatts,Retweet
vtmoneyobx,realTuckFrumper,Retweet
fight4freedom72,CBSNews,Retweet
chasemiddaugh,ryanstruyk,Retweet
chasemiddaugh,CNN,Mention
KarenPaulsrud5,DilleyShow,Retweet
rfoto,Yamiche,Retweet
BKoestering,ClayTravis,Retweet
Jim22902687,brithume,Retweet
RaRa8155,charliekirk11,Retweet
ebbybennett,tedlieu,Retweet
bailey79,AprilDRyan,Retweet
bailey79,realDonaldTrump,Mention
jaredataylor,jaredataylor,Tweet
lmnysf,NYDailyNews,Retweet
TheFirstEmma,DoubleEph,Retweet
Teyyy__,lilbarbacoa_,Retweet
jmanuelwrites,adamconover,Retweet
SWSandy_,alphacentauriii,Retweet
UABsoundboard,cnnbrk,Retweet
Oldyella49,sfpelosi,Retweet
SamchanRyan,TomFitton,Retweet
SamchanRyan,US_FDA,Mention
madamepasquier,RealMattCouch,Retweet
Orcusa1,HyltonRobin,Retweet
Orcusa1,POTUS,Mention
iawaich,Real_Heena,Retweet
PolderenSisu,GOPChairwoman,Reply
PolderenSisu,GOPChairwoman,Mention
PolderenSisu,realDonaldTrump,Mention
Harshad23062422,Imamofpeace,Retweet
NorCalAntonio,ryanstruyk,Retweet
NorCalAntonio,CNN,Mention
jamesthegayest,jamesthegayest,Tweet
BAZ61193333,ddale8,Retweet
zashraf12,itsaadee,Retweet
zashraf12,ImranKhanPTI,Mention
Frankli34624739,kyodo_english,Retweet
HCYHK,SenTomCotton,Retweet
alexcalabresi,CalabasasPatch,Retweet
karlitanagy,alejandro_mhr,Retweet
mangotree_books,Senator_Patrick,Retweet
mangotree_books,ScottMorrisonMP,Mention
hiulamsiu,JohnCornyn,Retweet
MexAmerican94,CNET,Retweet
BecketAdams,BecketAdams,Reply
ToriRob11,Yamiche,Retweet
ToriRob11,JDiamond1,Mention
ShyamalaChandr2,MumbaiMirror,Retweet
I_Hart_Sneakers,BleacherReport,Retweet
NonnaLovesTrump,MAGAGwen,Retweet
MattRalston6,joe_warmington,Retweet
MattRalston6,YRP,Mention
lizbarry,nytimes,Retweet
MyPug4President,edieconstantine,Retweet
folded14,atomaraullo,Retweet
Kam_ma_lay,carolynryan,Retweet
beanlikeburrito,kicknpac,Retweet
molcranenewman,chelsiamarcius,Retweet
TuJadili,mailandguardian,Retweet
tabatt13,tabatt13,Tweet
AaronBondar,politicalmath,Reply
AaronBondar,politicalmath,Mention
McDeplorableMe,FollowQanon,Retweet
Summation23,TheSunVanished,Reply
Summation23,TheSunVanished,Mention
TampaBayFamily,RawStory,Retweet
jormigphoto,AndyBiotech,Retweet
NINJAKEK1,pushforward40,Retweet
PrasadAsmita,ndtv,Retweet
WellThisThen,WellThisThen,Tweet
SheraPrincessP,MAGA2ARIGHTS,Retweet
lizsczudlo,countericconner,Retweet
marydixon967,InactionNever,Retweet
FallerLawrence,gatewaypundit,Retweet
suhail_asad,khaleejtimes,Retweet
suhail_asad,MohamedBinZayed,Mention
nouglypantsuits,MarshaBlackburn,Retweet
Ponderfood,fred_guttenberg,Retweet
_haileyhughes,YouLoveAshh,Retweet
DSirbasku,TheRickWilson,Retweet
GJBurke,eamorris_,Retweet
daughterUSA_Rev,cbrnetaskforce,Retweet
daughterUSA_Rev,cbrnetaskforce,Mention
daughterUSA_Rev,AngelWarrior321,Mention
Abhitweetzz,Imamofpeace,Retweet
JulieMcMillian1,MichaelCoudrey,Retweet
MZGreenOfficial,GregAbbott_TX,Retweet
MagaNordic,love4thegameAK,Retweet
Sukmyasshleiigh,j7eon,Retweet
TJEstes1210,thebradfordfile,Retweet
ecampo12,tbogg,Retweet
shelbylynn_0723,chrisjollyhale,Retweet
SalmerkSalmerk1,NewYorker,Retweet
Sikujuiwewe,jburnmurdoch,Retweet
sro459,DrDenaGrayson,Retweet
sro459,realDonaldTrump,Mention
RobertS_BtcXau,RobertS_BtcXau,Tweet
KimberleyShane8,IngrahamAngle,Retweet
salamann,AndyBiotech,Retweet
laurafortified,MarshaBlackburn,Retweet
C_AllenJ,TheDailyShow,Retweet
ennaannod2,gemmaod1,Retweet
Khristasia1K,chrisjollyhale,Retweet
savepugetsound,savepugetsound,Tweet
QuadriAdeyanju,globaltimesnews,Retweet
aashna_aabshar,itsaadee,Retweet
aashna_aabshar,ImranKhanPTI,Mention
3forwade,Hou5ton4L,Retweet
KathrynCusi,Yamiche,Retweet
KathrynCusi,JDiamond1,Mention
Arcane_Opinions,Btaylor74,Retweet
BCNThomson,AstroKatie,Reply
BCNThomson,AstroKatie,Mention
BCNThomson,mitchellvii,Mention
Steve73058868,TomFitton,Retweet
sudeshbaj,Imamofpeace,Retweet
kirk_barton,JuliaDavisNews,Retweet
queenie262,ddale8,Retweet
jettlag10,JoeNBC,Retweet
cavin,IChotiner,Retweet
tjpatterson85,PoliticusSarah,Retweet
ThisIsALogin,tedlieu,Retweet
570Karen,jimsciutto,Retweet
25luisalva,25luisalva,Tweet
BYeoldshire,CRRJA5,Retweet
BYeoldshire,SpeakerPelosi,Mention
BYeoldshire,realDonaldTrump,Mention
BYeoldshire,SpeakerPelosi,Mention
richardlfricks,PaulLidicul,Retweet
carolynfriend9,aaron_leib,Retweet
Binahsaurus,gwensnyderPHL,Retweet
Binahsaurus,Medtronic,Mention
PerfidiousP,emilycrockett,Retweet
PerfidiousP,KatieHill4CA,Mention
PerfidiousP,Yamiche,Mention
Marcstick,chrisjollyhale,Retweet
JZhen6,SaraCarterDC,Retweet
JZhen6,toddstarnes,Mention
Bullsranch99,nyclawgrrrl,Retweet
JohnstonJ1407,AliVelshi,Retweet
Raul_canelo,LinkedHD,Retweet
jr_thicks94,RealCandaceO,Retweet
PapaFreeky,timmarchman,Retweet
54Ange,KamVTV,Retweet
LizzyCount,realDonaldTrump,Retweet
Bmelito87,KatDelT,Retweet
rhysevans117,jenniferbaer,Retweet
Tweetlicious_MK,Yamiche,Retweet
Tweetlicious_MK,JDiamond1,Mention
Nic1214,JasonMillerinDC,Retweet
Wednsdayschild,jeremyherb,Retweet
Gingerkelley77,BreitbartNews,Mention
lucky4me4,lucky4me4,Tweet
Bjulias422,thehill,Retweet
USDemocracy2020,DrDenaGrayson,Retweet
USDemocracy2020,realDonaldTrump,Mention
RAKWIS1,TheDemCoalition,Retweet
Knocksious,rodball22,Reply
Knocksious,rodball22,Mention
VittaVarun,AdamMilstein,Retweet
cocomcsamps,ryanstruyk,Retweet
cocomcsamps,CNN,Mention
RevJohnboy,funder,Retweet
BequeathLiberty,MarshaBlackburn,Retweet
keshaw_sahay,keshaw_sahay,Tweet
ABigheadedPanda,chrisjollyhale,Retweet
DrMike_USA,WayneDupreeShow,Retweet
nanbiaso,UNNTV1,Retweet
mickmca32,PhilipObin,Retweet
AngryCoffee1,intheMatrixxx,Retweet
AngryCoffee1,billboard,Mention
karensue111,JamesMartinSJ,Retweet
JLOHagans,sfpelosi,Retweet
longbow767,jaketapper,Retweet
shasha9lives,tedlieu,Retweet
MaryWetton,ryanstruyk,Retweet
MaryWetton,CNN,Mention
HSC_MomC,DeanObeidallah,Retweet
HSC_MomC,realDonaldTrump,Mention
Krm1285A,Kenzoness,Retweet
Go_USC_Gamecock,GeorgiaLogCabin,Retweet
normboy562,bcubit33,Retweet
ScottOnAWire,ScottOnAWire,Tweet
SunilSa42819815,No1_Nationalist,Retweet
SunilSa42819815,Ajeet_Parmar07,Mention
3boodGooner,SamRamani2,Retweet
CarmenNobel,JournoResource,Retweet
jojake111,HarryPotterMAGE,Retweet
suesbats,sherwiebp,Retweet
paytonaroman,woozillaaaa,Retweet
realTomKonopka,YouTube,Mention
norxc,TheBigSaf,Retweet
swtyndall,swtyndall,Tweet
lacho_b,GregAbbott_TX,Retweet
NoahWarner1995,TMZ,Retweet
Vishal96813038,JamesTodaroMD,Retweet
LizSternGlobal,jayrosen_nyu,Retweet
park3r_3ddy,wkyc,Retweet
1BravoRebel,DavidLat,Retweet
aber6120,BreitbartNews,Retweet
Jankel01,Jankel01,Retweet
LimobusVan,MSNBC,Retweet
m_tmmelle,kylegriffin1,Retweet
LynnMarcotte,HeyTammyBruce,Retweet
GiftsAndTalents,RealCandaceO,Retweet
jpjanson,jpjanson,Tweet
neuropsychblog,neuropsychblog,Tweet
roberts2350,DoringHaak,Retweet
jtkemper_,MikeDelMoro,Retweet
NofNews_Ghana,NofNews_Ghana,Tweet
ImpyGimpyGeek,ImpyGimpyGeek,Tweet
makewisechoice,jeremyherb,Retweet
RussellWarshay,BeWaterHKG,Retweet
WinnieDog2,TheDemCoalition,Retweet
kldonaho,SaraCarterDC,Retweet
kldonaho,toddstarnes,Mention
Avner80894027,charliekirk11,Retweet
KPS_ss,ACNH_support,Retweet
pweety_naza,TobiRachel_,Retweet
KdbugA,AdamMilstein,Retweet
mire_bablu,Real_Jat_,Retweet
Mike36393034,bbcnickrobinson,Reply
Mike36393034,bbcnickrobinson,Mention
Mike36393034,hent3369,Mention
gil_capote,BarackObama,Retweet
CarlBingman,carolynryan,Retweet
JoelT1d,CTVNews,Retweet
Daddy_Davo13,BleacherReport,Retweet
JFreideman,TomFitton,Retweet
JFreideman,US_FDA,Mention
lcrraine,CaliaDomenico,Retweet
lizlaribee,thedailybeast,Retweet
GG_Cuse,thedailybeast,Retweet
HarvardCBAR,pozmagazine,Retweet
HarvardCBAR,LizCancerHealth,Mention
NomiBlockS,chicagotribune,Retweet
tarbaby87065348,Kintu3,Retweet
nicolle_th,ryanstruyk,Retweet
DampierDrums,DampierDrums,Tweet
MAGA_USMC,Mike_Pence,Retweet
azcopinions,azcopinions,Tweet
gemisura,AnnaForFlorida,Retweet
gemisura,realDonaldTrump,Mention
Rocketj21,jayrosen_nyu,Retweet
pognaa,TobiRachel_,Retweet
blackkrosez,nobisha,Retweet
BWhaler23,BWhaler23,Tweet
FREEXBijouX,iamtheFLYEST,Retweet
FREEXBijouX,KeriHilson,Mention
next_china,next_china,Tweet
143Swami,Lost_Droids,Reply
143Swami,Lost_Droids,Mention
143Swami,dvillella,Mention
143Swami,realDonaldTrump,Mention
NeneBhargav,JP_LOKSATTA,Retweet
adegrandpre,jaketapper,Retweet
tiisyaato,azcentral,Retweet
shatto_teresa,ChadLivengood,Retweet
johnalanturner,jamiedupree,Retweet
MartyLeith206,RealCandaceO,Retweet
DTCarpentry1,mikeandersonsr,Retweet
GardeniaSue,Yamiche,Retweet
SaulEsparza590,TobiRachel_,Retweet
FranciscoOveree,JesusOfNaz316,Retweet
dieb1948,GregAbbott_TX,Retweet
MaureenWCT,DrSidMukherjee,Retweet
LydiaCoffin,TobiRachel_,Retweet
DrStefool,IHU_Marseille,Mention
elliquinn,JoeNBC,Retweet
ladynsearch,DrunkLiz1,Retweet
richardvancamp,DavidLat,Retweet
Trishamott,jimsciutto,Retweet
Eliot54628575,jeremyherb,Retweet
KarimaAbdrakhm3,KarimaAbdrakhm3,Tweet
DavinRulli,jakpost,Retweet
Deedee4Bernie,ChadLivengood,Retweet
emeek,juliebosman,Retweet
NCPatriotMom,bcarrz,Retweet
Patrick70635297,CNN,Retweet
Jbgud,ESPNNBA,Retweet
jimmycanosajr,jimmycanosajr,Tweet
drsarafrench,realTuckFrumper,Retweet
nosukebz_0128,BleacherReport,Retweet
angsuman,angsuman,Tweet
ARTHURGCARTER1,NBCNews,Mention
dirkfung,DaviesBooks,Retweet
dirkfung,dag_een,Mention
girlforce45,TrumpsPrettyWom,Retweet
ThomasGambrel2,VoiceOfOBrien,Reply
ThomasGambrel2,VoiceOfOBrien,Mention
ThomasGambrel2,SixPersistsBlue,Mention
ThomasGambrel2,HouseGOP,Mention
ThomasGambrel2,SenateGOP,Mention
ThomasGambrel2,ABCPolitics,Mention
ThomasGambrel2,NBCPolitics,Mention
ThomasGambrel2,CBSPolitics,Mention
ThomasGambrel2,CNNPolitics,Mention
ThomasGambrel2,MSNBC,Mention
BMatteau,thomaskaine5,Retweet
NeverBSocialist,TeamTrump,Retweet
NeverBSocialist,JDiamond1,Mention
NeverBSocialist,realDonaldTrump,Mention
jlrjrtx,Pismo_B,Retweet
business,business,Tweet
gonlozano,SaraCarterDC,Retweet
gonlozano,toddstarnes,Mention
eileenreed2016,RBReich,Retweet
ladipodeju,globaltimesnews,Retweet
fm49685690,CallingBSonU,Retweet
rjaredp,RyanAFournier,Retweet
katriord,joelockhart,Retweet
lookner,ai6yrham,Mention
SteveDeClue4,Mikel_Jollett,Retweet
SouthernKat60,KatieKimNBC,Retweet
DrDove2003,TobiRachel_,Retweet
Gettingtrump,Gettingtrump,Tweet
DougFarmer15,charliekirk11,Retweet
RubenFromDeep,BobKarpDR,Reply
RubenFromDeep,BobKarpDR,Mention
RubenFromDeep,lauferlaw,Mention
KGH221650,SDHamiltonVIC,Retweet
KGH221650,mickjoebill,Mention
KGH221650,JacquelineMaley,Mention
jayayzle,IngrahamAngle,Retweet
Wisewoman2020,RWPUSA,Retweet
XanderDaG,FuckYugi,Retweet
jbwentworthe,TeamTrump,Retweet
jbwentworthe,JDiamond1,Mention
jbwentworthe,realDonaldTrump,Mention
CNNBusiness,CNNBusiness,Tweet
LasikF,kylegriffin1,Retweet
I_m_mukesh77,RahulGandhi,Retweet
Global_Montreal,Global_Montreal,Tweet
Steven_R_Stice,blakesmustache,Retweet
khadijahshahnaz,InactionNever,Retweet
purifiedgay,MoetBlindCat,Retweet
purifiedgay,catsofinstagram,Mention
harleylexx,JessicaHeddings,Reply
harleylexx,JessicaHeddings,Mention
rainyinportland,2017Guitarman,Retweet
FedUpwDemsLIES,IngrahamAngle,Retweet
chernlar1,MarshaBlackburn,Retweet
SaraBartlett17,wedonopeneyes,Retweet
cocomcsamps,ryanstruyk,Retweet
cocomcsamps,CNN,Mention
JenniferYuen1,nytimes,Retweet
lorraine_fevre,bariweiss,Retweet
dvillella,atrupar,Retweet
rnonline,AndrewBloch,Retweet
DeniseStarr3,JoeNBC,Retweet
NYCPrynne,NYCPrynne,Tweet
djanechristy,MarshaBlackburn,Retweet
bhilbig,kylegriffin1,Retweet
stnhvny,nobisha,Retweet
masuruha2,WayneDupreeShow,Retweet
ma25sa2525,jiyunaJP,Retweet
ragumami1,OpIndia_com,Retweet
Bridge597,JoeBiden,Reply
Bridge597,JoeBiden,Mention
DenierNyc,MartiniShark,Retweet
kohlmann_n,KevinlyFather,Retweet
kohlmann_n,ddale8,Mention
Dilpree75599359,NehaBindal10,Retweet
Dilpree75599359,derasachasauda,Mention
gandralf,AndrewBloch,Retweet
HadleyTa,jimsciutto,Retweet
nanny2rvs,MarshaBlackburn,Retweet
iamandeyaaaa,ribsreprise,Retweet
Ijeamaka_01,elizax_5,Retweet
JulesC2022,DocAroundThClok,Retweet
TheCynicalVixen,TheCynicalVixen,Tweet
TheSimArchitect,kajira_oni,Reply
TheSimArchitect,kajira_oni,Mention
Sandyeno2,RealSaavedra,Retweet
addyspena,TobiRachel_,Retweet
EricMoo91919605,Breaking911,Retweet
MBTrumpwatcher,jimsciutto,Retweet
ConservaVixen7,testisfidelis,Retweet
Otgntgs,gijn,Retweet
Otgntgs,pulitzercenter,Mention
_vivalaelaine,WGNNews,Retweet
kenalls,Breaking911,Retweet
NJoseph4,NJoseph4,Tweet
lolaogunnaike,JoeNBC,Retweet
RezaRizkiaKP,TIME,Retweet
soynroth,mcyost,Retweet
Suzy_Makher,Suzy_Makher,Reply
Suzy_Makher,thespybrief,Mention
Smitty1648,SethAbramson,Retweet
JennPlayTheGame,GregAbbott_TX,Retweet
yoitae,brown_skin_rose,Retweet
chris_grant,animoller,Reply
chris_grant,animoller,Mention
chris_grant,TheAtlantic,Mention
OhioSports4,MichaelCoudrey,Retweet
kodandmel,TobiRachel_,Retweet
KatGoesIndie,ianbremmer,Retweet
tangles1001,DineshDSouza,Retweet
inspireprag,AOCummies,Retweet
prh_srh,TrueFactsStated,Reply
prh_srh,TrueFactsStated,Mention
nanzspazz,people,Retweet
BradGierke,IngrahamAngle,Retweet
redrose196,CREWcrew,Retweet
e_karizza,starmometer,Retweet
degodolly,ddale8,Retweet
KelleeForrester,ddale8,Retweet
El_Batman_,KamVTV,Retweet
jo52170739,BIS_org,Retweet
isabelillig,TobiRachel_,Retweet
empty_pocket70,Mike_Pence,Retweet
Zorro_1969,AlexanderDowner,Retweet
jenserafi,ThePlumLineGS,Retweet
mt43_daily,WildPalmsLtd,Retweet
sharesed,MichaelMcIntyre,Retweet
DavidMa52395713,realDonaldTrump,Retweet
Ankarmoor,CMichaelGibson,Retweet
swhotmess,ScottPresler,Reply
swhotmess,ScottPresler,Mention
kayauy11,JohnCornyn,Retweet
Bamainmyheart,WriterRomana,Retweet
kfaz11,A_Mass2,Retweet
Succ_Engaged,smart_MS3,Retweet
Succ_Engaged,StoolGreenie,Mention
Succ_Engaged,coronavirus,Mention
BlozLola,SecPompeo,Retweet
trudienm,business,Retweet
Babblyn2u,JoeNBC,Retweet
MAGA_Engineer,MarshaBlackburn,Retweet
R_backdoc,pushforward40,Retweet
davidalexander5,davidalexander5,Tweet
Just4TheCause,jonrappoport,Retweet
Tamanna_GurAnsh,ImPoojaInsan,Retweet
Tamanna_GurAnsh,derasachasauda,Mention
quiltmakerBD,aliasvaughn,Retweet
manubee777,manubee777,Tweet
armorpl8,RealSaavedra,Retweet
Tanekron,jenniferbaer,Retweet
Mariapeet2,dadetrading,Retweet
Gr8Gems,abbygoodnough,Retweet
aizawanikka,cloverblossoms_,Retweet
Falsmr2,SenSchumer,Retweet
Falsmr2,SenWarren,Mention
brightlight46,AliVelshi,Retweet
DanaCheuka,TheDailyEdge,Retweet
DanaCheuka,realDonaldTrump,Mention
DanaCheuka,nytimes,Mention
jan07132180,SenTomCotton,Retweet
Tikisrose,InactionNever,Retweet
seasquirt99,ddale8,Retweet
NixieTaylorRoms,hannahcrileyy,Retweet
phoward99,CauseWereGuys,Retweet
JohnOSullivan36,SethAbramson,Retweet
kc1027,willripleyCNN,Retweet
LouHoubaer,garthburley1,Retweet
MarkELindsay,ChadLivengood,Retweet
JGunlock,greenhousenyt,Retweet
Onekneedah,HuffPostPol,Retweet
worldnews134,worldnews134,Tweet
Dago70_2,GmanFan45,Retweet
Dago70_2,Inevitable_ET,Mention
Dago70_2,Mediaite,Mention
Dago70_2,Twitter,Mention
Dago70_2,RudyGiuliani,Mention
BostoninDenial,fred_guttenberg,Retweet
ygcmlgs,atomaraullo,Retweet
trigger077,Yamiche,Retweet
trigger077,JDiamond1,Mention
szczurwa,V_of_Europe,Retweet
vicrefhealthnet,SBS,Reply
vicrefhealthnet,SBS,Mention
sldcc,jaketapper,Retweet
NotAcquiescing,liamstack,Retweet
LEngelhorn,juliebosman,Retweet
AlexK_SUCCESS,GHS,Retweet
AlexK_SUCCESS,DrTedros,Mention
AlexK_SUCCESS,WHO,Mention
CarmenDalp,ianbremmer,Retweet
chenette_anna,RWPUSA,Retweet
DeplorableScot,coco14391,Retweet
sarahnjwaa,j7eon,Retweet
DebbieDamon2,LouiseMensch,Retweet
worldnews134,worldnews134,Tweet
vinnewell,atrupar,Retweet
FreemanDelphox,TheSunVanished,Reply
FreemanDelphox,TheSunVanished,Mention
Trumpysinlove1,Mikel_Jollett,Retweet
hailstate_takes,scottwongDC,Retweet
19jlp57,JackPosobiec,Retweet
SocialistNProud,Brexit_Delusion,Retweet
KayvenDarl,BleacherReport,Retweet
ismacarbajal,chrisjollyhale,Retweet
AAAllegedly,HumansOfFlat,Retweet
evsspyy,woozillaaaa,Retweet
Confuse00852481,WowShane,Reply
Confuse00852481,WowShane,Mention
Confuse00852481,va_shiva,Mention
CallaghanRobbie,A_Mass2,Retweet
